source,source URI,source PoS,target,target URI,target PoS,ok?,comment
{give til kende_2§2},https://wordnet.dk/dannet/data/synset-21902,noun,{udtrykke_§1},https://wordnet.dk/dannet/data/synset-22006,verb,yes,
"{vippe (vælte, slå, ..) af pinden_§18}",https://wordnet.dk/dannet/data/synset-27753,noun,{fjerne_§1},https://wordnet.dk/dannet/data/synset-27703,verb,yes,
{komme/ville til livs_§22},https://wordnet.dk/dannet/data/synset-27734,noun,{fjerne_§1},https://wordnet.dk/dannet/data/synset-27703,verb,yes,
{rydde noget af vejen_§34},https://wordnet.dk/dannet/data/synset-27870,noun,{fjerne_§1},https://wordnet.dk/dannet/data/synset-27703,verb,yes,
{rykke/rive op med rod(e)_1§7a},https://wordnet.dk/dannet/data/synset-27772,noun,{fjerne_§1},https://wordnet.dk/dannet/data/synset-27703,verb,yes,
{tage af ilden_§14},https://wordnet.dk/dannet/data/synset-27723,noun,{fjerne_§1},https://wordnet.dk/dannet/data/synset-27703,verb,yes,
{tørre støv_§10 af},https://wordnet.dk/dannet/data/synset-27817,noun,{fjerne_§1},https://wordnet.dk/dannet/data/synset-27703,verb,yes,
{pille næse_§15},https://wordnet.dk/dannet/data/synset-27746,noun,{fjerne_§1},https://wordnet.dk/dannet/data/synset-27703,verb,yes,
{drikke gravøl_§2a},https://wordnet.dk/dannet/data/synset-74845,noun,{drikke_2§1},https://wordnet.dk/dannet/data/synset-957,verb,yes,
{læske/væde ganen_§5},https://wordnet.dk/dannet/data/synset-74838,noun,{drikke_2§1},https://wordnet.dk/dannet/data/synset-957,verb,yes,
{give udtryk_§6 for},https://wordnet.dk/dannet/data/synset-30832,noun,{meddele_§1},https://wordnet.dk/dannet/data/synset-30693,verb,yes,
{kaste/smide håndklædet_§2a i ringen},https://wordnet.dk/dannet/data/synset-30806,noun,{meddele_§1},https://wordnet.dk/dannet/data/synset-30693,verb,yes,
{sende bud_§8},https://wordnet.dk/dannet/data/synset-30799,noun,{meddele_§1},https://wordnet.dk/dannet/data/synset-30693,verb,yes,
{dække bord_§12},https://wordnet.dk/dannet/data/synset-74772,noun,{placere_§1},https://wordnet.dk/dannet/data/synset-1912,verb,yes,
{slå sig på flasken_1§5},https://wordnet.dk/dannet/data/synset-74881,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{drikke nogen under bordet_§11},https://wordnet.dk/dannet/data/synset-74885,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{bide en snaps_§3 over},https://wordnet.dk/dannet/data/synset-74886,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{drikke sig mod_1§2 til},https://wordnet.dk/dannet/data/synset-74887,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{kunne klare/tåle mosten_§2},https://wordnet.dk/dannet/data/synset-74900,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{kigge for dybt i glasset/flasken_§6},https://wordnet.dk/dannet/data/synset-74896,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{dyppe snablen_§2},https://wordnet.dk/dannet/data/synset-74904,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{drikke som en svamp_§5},https://wordnet.dk/dannet/data/synset-74905,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{få noget inden for vesten_2§2},https://wordnet.dk/dannet/data/synset-74907,noun,{drikke_2§2},https://wordnet.dk/dannet/data/synset-43825,verb,yes,
{sætte en anden/ny plade_§15 på (grammofonen)},https://wordnet.dk/dannet/data/synset-78551,noun,{sige_§1},https://wordnet.dk/dannet/data/synset-29625,verb,yes,
{fælde dom_1§6},https://wordnet.dk/dannet/data/synset-46882,noun,{sige_§1},https://wordnet.dk/dannet/data/synset-29625,verb,yes,
{gå i forbøn_§2},https://wordnet.dk/dannet/data/synset-46893,noun,{sige_§1},https://wordnet.dk/dannet/data/synset-29625,verb,yes,
