target,target URI,target PoS,n,source,source URI,source PoS,retarget candidates,decision,retarget to,comment
{besværlig_§1a; krævende_§2; vanskelig_§2},https://wordnet.dk/dannet/data/synset-68600,adjective,1,{tung at danse_§5 med},https://wordnet.dk/dannet/data/synset-46425,verb,,,,
{disciplin_§2; fag_§1; fagområde_§1; felt_1§2a; genstandsfelt_§1; genstandsområde_§1; gren_§2; retning_§2; skole_1§1c; videnskab_§1a},https://wordnet.dk/dannet/data/synset-3090,noun,1,{videnskabeliggøre_§1},https://wordnet.dk/dannet/data/synset-23706,verb,,,,
{evne_2§1},https://wordnet.dk/dannet/data/synset-42938,verb,1,{arbejdsevne_§1},https://wordnet.dk/dannet/data/synset-72535,noun,{dygtighed_§1a; evne_1§1a; kapacitet_§1a; kunnen_§1; nemme_1§1; sans_1§2; streng_1§2a; talent_1§1} <https://wordnet.dk/dannet/data/synset-25985>; {evne_1§1} <https://wordnet.dk/dannet/data/synset-68263>,,,
{fantasere_§1},https://wordnet.dk/dannet/data/synset-48221,verb,1,{rejse_1§1b},https://wordnet.dk/dannet/data/synset-75285,noun,,,,
{fastgøre_§1},https://wordnet.dk/dannet/data/synset-2215,verb,1,{binding_§1},https://wordnet.dk/dannet/data/synset-74001,noun,,,,
{film_§1},https://wordnet.dk/dannet/data/synset-1812,noun,1,{filmatisere_§1},https://wordnet.dk/dannet/data/synset-26482,verb,,,,
{flette_§1a},https://wordnet.dk/dannet/data/synset-44861,verb,1,{sammenfletning_§1},https://wordnet.dk/dannet/data/synset-69539,noun,,,,
{forandre_§1; lave_2§11 om; ændre_§1},https://wordnet.dk/dannet/data/synset-29369,verb,1,{adresseændring_§1},https://wordnet.dk/dannet/data/synset-61432,noun,,,,
{forekomme_§2},https://wordnet.dk/dannet/data/synset-72812,verb,1,{selskab_§1b},https://wordnet.dk/dannet/data/synset-78542,noun,,,,
{forene_§1},https://wordnet.dk/dannet/data/synset-44950,verb,1,{forening_§3},https://wordnet.dk/dannet/data/synset-64358,noun,,,,
{forhøje_§2},https://wordnet.dk/dannet/data/synset-32990,verb,1,{afgiftsforhøjelse_§1},https://wordnet.dk/dannet/data/synset-57933,noun,,,,
{forlade_§3a},https://wordnet.dk/dannet/data/synset-45036,verb,1,{vælgerflugt},https://wordnet.dk/dannet/data/synset-69520,noun,,,,
{forsyne_§1},https://wordnet.dk/dannet/data/synset-42959,verb,1,{tilførsel_§1},https://wordnet.dk/dannet/data/synset-72471,noun,,,,
{frifinde_§1},https://wordnet.dk/dannet/data/synset-30649,verb,1,{frifindelse_§1},https://wordnet.dk/dannet/data/synset-72421,noun,,,,
{føje_2§3 sammen},https://wordnet.dk/dannet/data/synset-44900,verb,1,{sammenskrivning_§1},https://wordnet.dk/dannet/data/synset-65464,noun,,,,
{gentagelse_§1},https://wordnet.dk/dannet/data/synset-56209,noun,1,{gøre_§4b},https://wordnet.dk/dannet/data/synset-56210,verb,,,,
{gul_§1},https://wordnet.dk/dannet/data/synset-14979,adjective,1,{abrikos_§2},https://wordnet.dk/dannet/data/synset-14916,noun,,,,
{gøre_§1; handle_§1},https://wordnet.dk/dannet/data/synset-2331,verb,1,{hvile_1§1},https://wordnet.dk/dannet/data/synset-2108,noun,,,,
{handling_§1},https://wordnet.dk/dannet/data/synset-11677,noun,1,{ordne_§1},https://wordnet.dk/dannet/data/synset-31411,verb,,,,
{henrette_§1},https://wordnet.dk/dannet/data/synset-2294,verb,1,{henrettelse_§1},https://wordnet.dk/dannet/data/synset-45854,noun,,,,
{hjemløs_§1},https://wordnet.dk/dannet/data/synset-47771,adjective,1,{posedame_§1},https://wordnet.dk/dannet/data/synset-12014,noun,,,,
{hvid_2§1a},https://wordnet.dk/dannet/data/synset-14995,adjective,1,{perlemor_§1a},https://wordnet.dk/dannet/data/synset-14898,noun,{hvid_1§1} <https://wordnet.dk/dannet/data/synset-74694>; {hvid_1§1a} <https://wordnet.dk/dannet/data/synset-18020>,,,
{hyp_2§1; knald_1§2; rap_2§2; samleje_§1},https://wordnet.dk/dannet/data/synset-42400,noun,1,{tage_§26},https://wordnet.dk/dannet/data/synset-42402,verb,,,,
{høste_§1},https://wordnet.dk/dannet/data/synset-2268,verb,1,{kornhøst_§1},https://wordnet.dk/dannet/data/synset-64093,noun,,,,
{indifference_§1; indifferens_§1; indolens_§1; ligegyldighed_§3},https://wordnet.dk/dannet/data/synset-14783,noun,1,{glem det_2§5},https://wordnet.dk/dannet/data/synset-34350,verb,,,,
{indtage_§1; røre_2§1c},https://wordnet.dk/dannet/data/synset-637,verb,1,{rygning_1§1},https://wordnet.dk/dannet/data/synset-74000,noun,,,,
{istandgøre_§1},https://wordnet.dk/dannet/data/synset-32939,verb,1,{toilette_§1},https://wordnet.dk/dannet/data/synset-71993,noun,,,,
{juridisk_§1a; retslig_§2},https://wordnet.dk/dannet/data/synset-68257,adjective,1,{solvens_§1},https://wordnet.dk/dannet/data/synset-26122,noun,,,,
{kedelig_§1; uspændende_§1},https://wordnet.dk/dannet/data/synset-68501,adjective,1,{kedelighed_§1},https://wordnet.dk/dannet/data/synset-68521,noun,,,,
{kedelig_§1a; uspændende_§1a},https://wordnet.dk/dannet/data/synset-68506,adjective,1,{dødens_1§6 pølse},https://wordnet.dk/dannet/data/synset-68517,noun,,,,
{klage_1§2},https://wordnet.dk/dannet/data/synset-53186,noun,1,{brokke_2§2 sig; kværulere_§1},https://wordnet.dk/dannet/data/synset-49070,verb,{klage_2§1} <https://wordnet.dk/dannet/data/synset-32127>; {klage_2§2} <https://wordnet.dk/dannet/data/synset-68096>; {klage_2§1a} <https://wordnet.dk/dannet/data/synset-21903>,,,
{krænke_§1},https://wordnet.dk/dannet/data/synset-44501,verb,1,{overgreb_§1},https://wordnet.dk/dannet/data/synset-69808,noun,,,,
{lave_2§12 til; lave_2§1a; præparere_§1; tilberede_§1; tillave_§1},https://wordnet.dk/dannet/data/synset-349,verb,1,{kogning_§2},https://wordnet.dk/dannet/data/synset-31946,noun,,,,
{le_2§1},https://wordnet.dk/dannet/data/synset-70833,verb,1,{latter_§1},https://wordnet.dk/dannet/data/synset-70832,noun,{le_1§1} <https://wordnet.dk/dannet/data/synset-1957>,,https://wordnet.dk/dannet/data/synset-1957,
{lege_§1; legende_2§1},https://wordnet.dk/dannet/data/synset-23928,adjective+verb,1,{slå smut_2§3},https://wordnet.dk/dannet/data/synset-49304,noun,,,,
{lilla_§1},https://wordnet.dk/dannet/data/synset-14985,adjective,1,{purpurfarve_§1},https://wordnet.dk/dannet/data/synset-14940,noun,,,,
{meningsfuld_§1; meningsfyldt_§1},https://wordnet.dk/dannet/data/synset-46724,adjective,1,{hænge_§11 sammen},https://wordnet.dk/dannet/data/synset-73925,verb,,,,
{mindske_§1},https://wordnet.dk/dannet/data/synset-32900,verb,1,{afdæmpning_§1},https://wordnet.dk/dannet/data/synset-71038,noun,,,,
{omringe_§1},https://wordnet.dk/dannet/data/synset-33330,verb,1,{belejring_§1},https://wordnet.dk/dannet/data/synset-75028,noun,,,,
{opgive_§1},https://wordnet.dk/dannet/data/synset-45045,verb,1,{frafald_§1},https://wordnet.dk/dannet/data/synset-72475,noun,,,,
{ophøre_§1},https://wordnet.dk/dannet/data/synset-30859,verb,1,{ophævelse_§1},https://wordnet.dk/dannet/data/synset-54908,noun,,,,
{overdække_§1a},https://wordnet.dk/dannet/data/synset-38812,verb,1,{bevislighed_§1(2); testimonium_§1(2)},https://wordnet.dk/dannet/data/synset-77798,noun,,,,
{overtale_§1},https://wordnet.dk/dannet/data/synset-71012,verb,1,{overtalelse_§1},https://wordnet.dk/dannet/data/synset-71013,noun,,,,
{pludselig_1§1},https://wordnet.dk/dannet/data/synset-30335,adjective,1,{over en nat_§13},https://wordnet.dk/dannet/data/synset-74574,noun,,,,
{pølse_§1},https://wordnet.dk/dannet/data/synset-204,noun,1,{ristet_1§3},https://wordnet.dk/dannet/data/synset-34927,verb,,,,
{se_§1},https://wordnet.dk/dannet/data/synset-42949,verb,1,{gensyn_§1},https://wordnet.dk/dannet/data/synset-69878,noun,,,,
{skat_§1},https://wordnet.dk/dannet/data/synset-8407,noun,1,{beskatte_§2},https://wordnet.dk/dannet/data/synset-40106,verb,,,,
{skældsord_§1; ukvemsord_§1},https://wordnet.dk/dannet/data/synset-8079,noun,1,"{hvor vil du (han, ..) hen (med det)_§6}",https://wordnet.dk/dannet/data/synset-34398,verb,,,,
{snakke_§1; tale_2§21 frem og tilbage},https://wordnet.dk/dannet/data/synset-32061,verb,1,{snak_§1},https://wordnet.dk/dannet/data/synset-32060,noun,,,,
{stilling_§1b; tilstand_§1},https://wordnet.dk/dannet/data/synset-21809,noun,1,{være_§15 (lige) nogen},https://wordnet.dk/dannet/data/synset-70679,verb,,,,
{svar_1§1},https://wordnet.dk/dannet/data/synset-21572,noun,1,{(åh) jeg be'r_3§6},https://wordnet.dk/dannet/data/synset-38683,verb,,,,
{tidsmæssig_§1},https://wordnet.dk/dannet/data/synset-68648,adjective,1,{for tiden_§15},https://wordnet.dk/dannet/data/synset-21081,noun,,,,
{tiltale_1§2},https://wordnet.dk/dannet/data/synset-21588,noun,1,{hugge_§9(2) til},https://wordnet.dk/dannet/data/synset-73870,verb,{tiltale_2§2} <https://wordnet.dk/dannet/data/synset-73553>; {tiltale_2§3} <https://wordnet.dk/dannet/data/synset-32132>; {tiltale_2§3a} <https://wordnet.dk/dannet/data/synset-73882>,,,
{toilet_§1; vandkloset_§1; wc_§1},https://wordnet.dk/dannet/data/synset-36866,noun,1,{træk og slip_§41},https://wordnet.dk/dannet/data/synset-41610,verb,,,,
{udgift_§1},https://wordnet.dk/dannet/data/synset-8464,noun,1,{koste_2§1a},https://wordnet.dk/dannet/data/synset-57224,verb,,,,
{udnytte_§1},https://wordnet.dk/dannet/data/synset-46989,verb,1,{dyrkning_§1},https://wordnet.dk/dannet/data/synset-73965,noun,,,,
{udvikle_§1},https://wordnet.dk/dannet/data/synset-46970,verb,1,{begivenhedsforløb_§1},https://wordnet.dk/dannet/data/synset-53235,noun,,,,
{varme_2§1},https://wordnet.dk/dannet/data/synset-2712,verb,1,{opkog_§1},https://wordnet.dk/dannet/data/synset-72486,noun,{varme_1§5} <https://wordnet.dk/dannet/data/synset-72640>; {varme_1§3} <https://wordnet.dk/dannet/data/synset-47391>; {varme_1§3a} <https://wordnet.dk/dannet/data/synset-45361>,,,
{violet_§1},https://wordnet.dk/dannet/data/synset-15188,adjective,1,{aubergine_§2},https://wordnet.dk/dannet/data/synset-14912,noun,,,,
{vokse_1§1},https://wordnet.dk/dannet/data/synset-30623,verb,1,{fremvækst_§1},https://wordnet.dk/dannet/data/synset-30604,noun,,,,
{være/blive nødt_§1 til},https://wordnet.dk/dannet/data/synset-77980,adjective,1,{pisket_§6 til},https://wordnet.dk/dannet/data/synset-73609,verb,,,,
